,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_08,object_03,1143.1450000964,2,1,-1.0,0.0,2,object_01,5,0,0,3,8,desert_3,1,memory-2step-stake-s,495,853863,0.0-19.0-0.0-0.0,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,2,1
1,3,object_04,object_07,146.32999990135,5,2,1077.9649999458,0.0,1,object_06,5,0,0,0,8,library_5,1,memory-2step-stake-s,496,862165,0.0-19.0-0.0-0.1,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
2,4,object_10,object_05,1114.8600000888,7,2,683.24499996379,0.1111111111111111,1,object_06,5,5,0,1,7,restaurant_7,1,memory-2step-stake-s,497,870176,0.0-19.0-0.0-0.2,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,8,7
3,1,object_08,object_03,-1.0,-1,-1,-1.0,0.0,-,0,1,5,0,3,5,desert_2,1,memory-2step-stake-s,498,876693,0.0-19.0-0.0-0.3,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,2,1
4,2,object_09,object_02,-1.0,-1,-1,-1.0,0.0,-,0,5,5,0,6,5,forest_2,1,memory-2step-stake-s,499,883210,0.0-19.0-0.0-0.4,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
5,3,object_07,object_04,773.92000006512,5,1,791.07500007376,0.8888888888888888,1,object_06,5,45,0,8,6,library_7,1,memory-2step-stake-s,500,892037,0.0-19.0-0.0-0.5,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,5,6
6,3,object_07,object_04,605.4249999579,5,1,587.87499996834,0.7777777777777778,1,object_06,5,80,0,7,6,library_8,1,memory-2step-stake-s,501,900565,0.0-19.0-0.0-0.6,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,5,6
7,3,object_04,object_07,884.43499989808,5,2,691.27999991179,0.8888888888888888,1,object_06,1,88,0,8,7,library_3,1,memory-2step-stake-s,502,909285,0.0-19.0-0.0-0.7,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
8,2,object_09,object_02,1189.3599999603,4,2,764.39000014216,0.5555555555555556,2,object_01,1,93,0,9,5,forest_1,1,memory-2step-stake-s,503,917782,0.0-19.0-0.0-0.8,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
9,4,object_10,object_05,776.56500018202,8,1,614.5550000947,0.6666666666666666,2,object_01,5,123,0,7,6,restaurant_7,1,memory-2step-stake-s,504,926225,0.0-19.0-0.0-0.9,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,8,7
10,2,object_09,object_02,997.82499996945,4,2,405.5249998346,0.5555555555555556,2,object_01,1,128,0,9,5,forest_4,1,memory-2step-stake-s,505,934358,0.0-19.0-0.0-0.10,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
11,2,object_09,object_02,600.36499984562,3,1,477.79499995522,1.0,1,object_06,5,173,0,9,8,forest_1,1,memory-2step-stake-s,506,942973,0.0-19.0-0.0-0.11,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
12,3,object_04,object_07,688.17500001751,5,2,364.49999990873,0.6666666666666666,1,object_06,1,179,0,6,7,library_3,1,memory-2step-stake-s,507,951164,0.0-19.0-0.0-0.12,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
13,2,object_09,object_02,1174.5800001081,3,1,393.22500000708,0.8888888888888888,1,object_06,1,187,0,8,7,forest_2,1,memory-2step-stake-s,508,959596,0.0-19.0-0.0-0.13,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
14,4,object_05,object_10,850.15499987639,7,1,448.81500001065,0.6666666666666666,1,object_06,1,193,0,6,6,restaurant_7,1,memory-2step-stake-s,509,967873,0.0-19.0-0.0-0.14,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,7,8
15,4,object_05,object_10,690.11999992654,8,2,494.5000000298,0.5555555555555556,2,object_01,5,218,0,6,5,restaurant_7,1,memory-2step-stake-s,510,976098,0.0-19.0-0.0-0.15,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,7,8
16,4,object_10,object_05,636.86500000767,8,1,397.28999999352,0.6666666666666666,2,object_01,5,248,0,4,6,restaurant_1,1,memory-2step-stake-s,511,984333,0.0-19.0-0.0-0.16,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,8,7
17,1,object_08,object_03,1113.0299998913,1,2,409.79499998502,0.5555555555555556,1,object_06,5,273,0,5,5,desert_4,1,memory-2step-stake-s,512,992466,0.0-19.0-0.0-0.17,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,2,1
18,1,object_03,object_08,996.25000008382,2,2,486.86500010081,0.8888888888888888,2,object_01,5,313,0,5,8,desert_4,1,memory-2step-stake-s,513,1000985,0.0-19.0-0.0-0.18,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,1,2
19,3,object_04,object_07,944.99500002712,6,1,394.51000001281,0.8888888888888888,2,object_01,5,353,0,3,8,library_7,1,memory-2step-stake-s,514,1009416,0.0-19.0-0.0-0.19,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
20,1,object_08,object_03,1378.0799999367,2,1,452.7750001289,0.8888888888888888,2,object_01,1,361,0,4,8,desert_4,1,memory-2step-stake-s,515,1017907,0.0-19.0-0.0-0.20,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,2,1
21,3,object_07,object_04,770.88500000536,6,2,370.4850000795,0.8888888888888888,2,object_01,5,401,0,9,8,library_3,1,memory-2step-stake-s,516,1026318,0.0-19.0-0.0-0.21,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,5,6
22,2,object_02,object_09,796.5499998536,4,1,416.78500012495,0.8888888888888888,2,object_01,5,441,0,6,8,forest_2,1,memory-2step-stake-s,517,1034772,0.0-19.0-0.0-0.22,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,4,3
23,2,object_09,object_02,804.54499996267,4,2,385.04000008106,0.8888888888888888,2,object_01,1,449,0,4,8,forest_8,1,memory-2step-stake-s,518,1043193,0.0-19.0-0.0-0.23,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
24,2,object_09,object_02,995.1099997852,4,2,365.43500004336,1.0,2,object_01,1,458,0,7,9,forest_4,1,memory-2step-stake-s,519,1051700,0.0-19.0-0.0-0.24,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,3,4
25,4,object_05,object_10,907.92999998666,7,1,552.32000001706,0.8888888888888888,1,object_06,5,498,0,8,9,restaurant_2,1,memory-2step-stake-s,520,1060287,0.0-19.0-0.0-0.25,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,7,8
26,3,object_04,object_07,785.80499999225,6,1,390.23499982432,1.0,2,object_01,5,543,0,6,9,library_7,1,memory-2step-stake-s,521,1068821,0.0-19.0-0.0-0.26,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
27,4,object_05,object_10,968.9650000073,7,1,405.88500001468,0.6666666666666666,1,object_06,1,549,0,6,8,restaurant_2,1,memory-2step-stake-s,522,1077061,0.0-19.0-0.0-0.27,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,7,8
28,3,object_04,object_07,956.62999991328,6,1,362.33499995433,0.6666666666666666,2,object_01,1,555,0,5,6,library_5,1,memory-2step-stake-s,523,1085258,0.0-19.0-0.0-0.28,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
29,3,object_04,object_07,723.77999988385,6,1,452.27999985218,0.8888888888888888,2,object_01,5,595,0,4,8,library_5,1,memory-2step-stake-s,524,1093744,0.0-19.0-0.0-0.29,A3VFA6HNMEXO9L,3SA4EMRVKYI00KKCICLEW0FTGRS0PA,3VHHR074H7XRDT3S1LIIJICJD7W7LF,6,5
