,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_02,object_08,835.0,4,2,-1.0,0.0,2,object_06,5,0,0,0,3,forest_5,2,memory-2step-stake-s,504,982181,0.0-19.0-0.0-0.0,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,3,4
1,1,object_04,object_03,611.80000001192,2,2,772.30000001192,0.4444444444444444,2,object_06,1,4,0,1,4,desert_6,2,memory-2step-stake-s,505,990616,0.0-19.0-0.0-0.1,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,1,2
2,1,object_04,object_03,563.69999998808,2,2,362.79999995232,0.4444444444444444,2,object_06,5,24,0,1,4,desert_6,2,memory-2step-stake-s,506,998645,0.0-19.0-0.0-0.2,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,1,2
3,3,object_01,object_10,494.19999998808,5,2,684.39999997616,0.1111111111111111,1,object_09,1,25,0,1,3,library_1,2,memory-2step-stake-s,507,1006659,0.0-19.0-0.0-0.3,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,6,5
4,2,object_02,object_08,396.5,4,2,369.0,0.5555555555555556,2,object_06,5,50,0,2,5,forest_2,2,memory-2step-stake-s,508,1014752,0.0-19.0-0.0-0.4,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,3,4
5,3,object_01,object_10,725.80000001192,5,2,345.60000002384,0.3333333333333333,1,object_09,5,65,0,3,6,library_5,2,memory-2step-stake-s,509,1022624,0.0-19.0-0.0-0.5,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,6,5
6,2,object_08,object_02,743.0,4,1,368.69999998808,0.7777777777777778,2,object_06,5,100,0,5,7,forest_6,2,memory-2step-stake-s,510,1030918,0.0-19.0-0.0-0.6,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,4,3
7,1,object_04,object_03,747.09999996424,2,2,331.89999997616,0.8888888888888888,2,object_06,5,140,0,7,8,desert_8,2,memory-2step-stake-s,511,1039283,0.0-19.0-0.0-0.7,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,1,2
8,1,object_04,object_03,685.09999996424,2,2,353.59999996424,0.4444444444444444,2,object_06,1,144,0,7,4,desert_1,2,memory-2step-stake-s,512,1047262,0.0-19.0-0.0-0.8,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,1,2
9,4,object_07,object_05,819.30000001192,8,1,394.40000003576,0.6666666666666666,2,object_06,1,150,0,9,6,restaurant_6,2,memory-2step-stake-s,513,1055482,0.0-19.0-0.0-0.9,A3W1CKM4PBLRC0,306996CF7Z0Y3F4KVQ7DFLTE4FJB13,3YZ8UPK3VX2080LI1GIUQR0GR9FCU6,8,7
