,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_10,object_07,431.42500000249,1,1,-1.0,0.0,1,object_03,1,0,0,0,5,desert_5,1,memory-2step-stake-s,491,655385,0.0-19.0-0.0-0.0,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,1,2
1,3,object_02,object_05,406.91499999957,6,1,419.59999999381,0.6666666666666666,2,object_08,5,30,0,1,6,library_6,1,memory-2step-stake-s,492,663622,0.0-19.0-0.0-0.1,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,6,5
2,2,object_06,object_01,291.11999999441,3,1,294.96499999368,0.2222222222222222,1,object_03,1,32,0,2,5,forest_4,1,memory-2step-stake-s,493,671330,0.0-19.0-0.0-0.2,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,3,4
3,2,object_06,object_01,406.17499999644,3,1,307.39000000176,0.6666666666666666,1,object_03,1,38,0,6,9,forest_2,1,memory-2step-stake-s,494,679454,0.0-19.0-0.0-0.3,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,3,4
4,4,object_04,object_09,467.47499999765,7,1,526.13999998721,0.7777777777777778,1,object_03,5,73,0,7,4,restaurant_3,1,memory-2step-stake-s,495,687899,0.0-19.0-0.0-0.4,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,7,8
5,3,object_05,object_02,613.16500000248,6,2,336.66500000982,0.1111111111111111,2,object_08,5,78,0,7,1,library_4,1,memory-2step-stake-s,496,695548,0.0-19.0-0.0-0.5,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,5,6
6,1,object_10,object_07,555.74500000512,2,2,318.97000000754,0.1111111111111111,2,object_08,1,79,0,5,1,desert_5,1,memory-2step-stake-s,497,703181,0.0-19.0-0.0-0.6,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,1,2
7,4,object_09,object_04,643.60500000475,8,1,302.85999999614,0.1111111111111111,2,object_08,5,84,0,7,1,restaurant_1,1,memory-2step-stake-s,498,710797,0.0-19.0-0.0-0.7,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,8,7
8,2,object_06,object_01,731.95499999565,4,2,335.27999999933,0.3333333333333333,2,object_08,1,87,0,5,3,forest_4,1,memory-2step-stake-s,499,718647,0.0-19.0-0.0-0.8,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,3,4
9,1,object_07,object_10,978.89500000747,1,2,237.95999999857,0.8888888888888888,1,object_03,1,95,0,8,2,desert_6,1,memory-2step-stake-s,500,726905,0.0-19.0-0.0-0.9,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,2,1
10,3,object_05,object_02,441.24000000011,6,2,373.61500000407,0.3333333333333333,2,object_08,5,110,0,6,3,library_8,1,memory-2step-stake-s,501,734791,0.0-19.0-0.0-0.10,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,5,6
11,1,object_07,object_10,715.16500000143,2,1,271.03500001249,0.3333333333333333,2,object_08,1,113,0,8,3,desert_5,1,memory-2step-stake-s,502,742575,0.0-19.0-0.0-0.11,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,2,1
12,3,object_05,object_02,546.21999998926,6,2,222.53499999351,0.4444444444444444,2,object_08,5,133,0,8,4,library_8,1,memory-2step-stake-s,503,750412,0.0-19.0-0.0-0.12,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,5,6
13,1,object_10,object_07,646.08500000031,1,1,281.24499999103,0.8888888888888888,1,object_03,1,141,0,8,1,desert_7,1,memory-2step-stake-s,504,758712,0.0-19.0-0.0-0.13,A5BMKZRGHNSRT,3X2LT8FDIZY82IMGP2COH9T7SM78W0,3IOEN3P9SBZVJMLJP1V7TP39KQR16O,1,2
