,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_05,object_03,745.60000002384,3,1,-1.0,0.0,1,object_09,1,0,0,0,7,forest_6,2,memory-2step-stake-s,488,942112,0.0-19.0-0.0-0.0,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,3,4
1,4,object_07,object_06,1442.6999999881,7,1,786.0,0.1111111111111111,1,object_09,1,1,0,1,9,restaurant_2,2,memory-2step-stake-s,489,950222,0.0-19.0-0.0-0.1,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,7,8
2,3,object_01,object_02,1057.8000000119,5,1,849.80000001192,0.1111111111111111,1,object_09,5,6,0,1,6,library_7,2,memory-2step-stake-s,490,958396,0.0-19.0-0.0-0.2,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,5,6
3,1,object_10,object_08,1031.8999999762,1,1,-1.0,0.0,1,object_09,1,6,0,0,2,desert_4,2,memory-2step-stake-s,491,966927,0.0-19.0-0.0-0.3,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,1,2
4,4,object_07,object_06,906.79999995232,8,2,392.40000003576,0.2222222222222222,2,object_04,1,8,0,0,2,restaurant_2,2,memory-2step-stake-s,492,974755,0.0-19.0-0.0-0.4,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,7,8
5,3,object_02,object_01,910.30000001192,6,1,279.59999996424,0.1111111111111111,2,object_04,1,9,0,1,1,library_4,2,memory-2step-stake-s,493,982369,0.0-19.0-0.0-0.5,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,6,5
6,2,object_03,object_05,809.0,4,1,449.90000003576,0.0,2,object_04,5,9,0,1,0,forest_6,2,memory-2step-stake-s,494,990040,0.0-19.0-0.0-0.6,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,4,3
7,1,object_10,object_08,773.39999997616,2,2,479.5,0.3333333333333333,2,object_04,5,24,0,1,3,desert_3,2,memory-2step-stake-s,495,998048,0.0-19.0-0.0-0.7,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,1,2
8,3,object_01,object_02,1076.3000000119,6,2,292.09999996424,0.3333333333333333,2,object_04,1,27,0,3,3,library_7,2,memory-2step-stake-s,496,1005873,0.0-19.0-0.0-0.8,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,5,6
9,2,object_03,object_05,812.80000001192,3,2,340.09999996424,0.3333333333333333,1,object_09,5,42,0,3,3,forest_6,2,memory-2step-stake-s,497,1013741,0.0-19.0-0.0-0.9,A5C2W2YA7OHF8,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3BDCF01OG1AASDZTOU8IWVWGH85LYY,4,3
