,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_01,object_10,1436.2999999523,8,1,-1.0,0.0,2,object_08,5,0,0,0,1,restaurant_6,2,memory-2step-stake-s,498,1216420,0.0-19.0-0.0-0.0,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,8,7
1,3,object_04,object_02,702.09999990463,5,1,452.60000002384,0.1111111111111111,1,object_06,1,1,0,1,1,library_5,2,memory-2step-stake-s,499,1224206,0.0-19.0-0.0-0.1,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,5,6
2,2,object_03,object_09,619.39999997616,4,2,373.69999992847,0.1111111111111111,2,object_08,1,2,0,4,1,forest_4,2,memory-2step-stake-s,500,1231917,0.0-19.0-0.0-0.2,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,3,4
3,3,object_02,object_04,357.89999997616,5,2,361.89999997616,0.1111111111111111,1,object_06,1,3,0,1,0,library_1,2,memory-2step-stake-s,501,1239617,0.0-19.0-0.0-0.3,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,6,5
4,4,object_10,object_01,336.40000009537,7,1,438.89999997616,0.1111111111111111,1,object_06,1,4,0,1,2,restaurant_1,2,memory-2step-stake-s,502,1247382,0.0-19.0-0.0-0.4,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,7,8
5,1,object_05,object_07,393.89999997616,1,2,519.90000009537,0.2222222222222222,1,object_06,5,14,0,2,3,desert_2,2,memory-2step-stake-s,503,1255366,0.0-19.0-0.0-0.5,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,2,1
6,4,object_10,object_01,262.10000002384,7,1,397.60000002384,0.1111111111111111,1,object_06,5,19,0,1,3,restaurant_2,2,memory-2step-stake-s,504,1263098,0.0-19.0-0.0-0.6,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,7,8
7,3,object_04,object_02,549.89999997616,6,2,640.20000004768,0.4444444444444444,2,object_08,1,23,0,0,4,library_1,2,memory-2step-stake-s,505,1271386,0.0-19.0-0.0-0.7,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,5,6
8,3,object_04,object_02,625.10000002384,5,1,525.60000002384,0.1111111111111111,1,object_06,1,24,0,1,5,library_1,2,memory-2step-stake-s,506,1279257,0.0-19.0-0.0-0.8,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,5,6
9,1,object_07,object_05,600.39999997616,1,1,465.29999995232,0.3333333333333333,1,object_06,5,39,0,3,9,desert_7,2,memory-2step-stake-s,507,1287274,0.0-19.0-0.0-0.9,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,1,2
10,1,object_05,object_07,446.89999997616,1,2,403.5,0.4444444444444444,1,object_06,5,59,0,4,8,desert_2,2,memory-2step-stake-s,508,1295343,0.0-19.0-0.0-0.10,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,2,1
11,4,object_10,object_01,415.5,7,1,532.79999995232,0.4444444444444444,1,object_06,1,63,0,4,5,restaurant_2,2,memory-2step-stake-s,509,1303521,0.0-19.0-0.0-0.11,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,7,8
12,2,object_03,object_09,828.90000009537,3,1,672.70000004768,0.3333333333333333,1,object_06,5,78,0,3,5,forest_2,2,memory-2step-stake-s,510,1311727,0.0-19.0-0.0-0.12,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,3,4
13,3,object_02,object_04,597.5,5,2,537.40000009537,0.1111111111111111,1,object_06,5,83,0,1,1,library_5,2,memory-2step-stake-s,511,1319600,0.0-19.0-0.0-0.13,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,6,5
14,3,object_02,object_04,354.30000007153,6,1,547.39999997616,0.1111111111111111,2,object_08,1,84,0,0,1,library_8,2,memory-2step-stake-s,512,1327475,0.0-19.0-0.0-0.14,A5CIHEPULDFUF,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3IO1LGZLKDDDUM54OM4M8ZQHYX586P,6,5
