,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_06,object_10,1433.6000000006,8,1,1124.2000000002,0.3333333333333333,2,object_04,5,15,0,5,3,restaurant_2,1,memory-2step-stake-s,503,1377822,0.0-19.0-0.0-0.0,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,8,7
1,4,object_06,object_10,1231.9000000004,7,2,666.90000000037,0.5555555555555556,1,object_07,5,40,0,5,5,restaurant_2,1,memory-2step-stake-s,504,1386372,0.0-19.0-0.0-0.1,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,8,7
2,4,object_06,object_10,1408.0,7,2,789.90000000037,0.4444444444444444,1,object_07,5,60,0,4,5,restaurant_6,1,memory-2step-stake-s,505,1394978,0.0-19.0-0.0-0.2,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,8,7
3,4,object_06,object_10,-1.0,-1,-1,-1.0,0.0,-,0,5,60,0,2,4,restaurant_8,1,memory-2step-stake-s,506,1401596,0.0-19.0-0.0-0.3,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,8,7
4,4,object_06,object_10,719.79999999981,8,1,141.59999999963,0.1111111111111111,2,object_04,1,61,0,4,1,restaurant_6,1,memory-2step-stake-s,507,1409205,0.0-19.0-0.0-0.4,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,8,7
5,2,object_01,object_09,1137.0999999996,3,2,852.59999999963,0.7777777777777778,1,object_07,5,96,0,7,1,forest_4,1,memory-2step-stake-s,508,1418190,0.0-19.0-0.0-0.5,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,4,3
6,1,object_08,object_03,1370.7000000002,1,2,801.79999999981,0.8888888888888888,1,object_07,1,104,0,8,1,desert_2,1,memory-2step-stake-s,509,1427215,0.0-19.0-0.0-0.6,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,2,1
7,4,object_10,object_06,1388.3999999994,7,1,673.40000000037,0.6666666666666666,1,object_07,5,134,0,6,3,restaurant_7,1,memory-2step-stake-s,510,1435846,0.0-19.0-0.0-0.7,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,7,8
8,4,object_06,object_10,950.30000000075,7,2,608.79999999981,0.6666666666666666,1,object_07,5,164,0,6,2,restaurant_6,1,memory-2step-stake-s,511,1444412,0.0-19.0-0.0-0.8,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,8,7
9,1,object_03,object_08,-1.0,-1,-1,-1.0,0.0,-,0,1,164,0,3,4,desert_7,1,memory-2step-stake-s,512,1450984,0.0-19.0-0.0-0.9,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,1,2
10,2,object_09,object_01,1459.1000000006,3,1,514.39999999944,0.2222222222222222,1,object_07,5,174,0,2,5,forest_5,1,memory-2step-stake-s,513,1459043,0.0-19.0-0.0-0.10,A5HEKO0GZ3GD9,382GHPVPIV7ASJXQ3FB9V025S7G34H,3JWH6J9I9WT43593QFAD1C241SUBNE,3,4
