,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_08,object_05,-1.0,-1,-1,-1.0,0.0,-,0,5,0,0,1,0,desert_2,2,memory-2step-stake-s,524,1601485,0.0-19.0-0.0-0.0,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,2,1
1,3,object_03,object_02,1026.0,6,2,-1.0,0.0,2,object_04,1,0,0,0,1,library_6,2,memory-2step-stake-s,525,1610083,0.0-19.0-0.0-0.1,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,5,6
2,3,object_03,object_02,827.0,5,1,-1.0,0.0,1,object_07,1,0,0,2,3,library_6,2,memory-2step-stake-s,526,1618713,0.0-19.0-0.0-0.2,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,5,6
3,2,object_10,object_01,1087.0,3,2,-1.0,0.0,1,object_07,5,0,0,2,2,forest_7,2,memory-2step-stake-s,527,1627323,0.0-19.0-0.0-0.3,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,4,3
4,4,object_09,object_06,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,4,3,restaurant_3,2,memory-2step-stake-s,528,1633893,0.0-19.0-0.0-0.4,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,7,8
5,4,object_06,object_09,773.0,7,2,-1.0,0.0,1,object_07,5,0,0,3,3,restaurant_1,2,memory-2step-stake-s,529,1642522,0.0-19.0-0.0-0.5,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,8,7
6,2,object_01,object_10,1151.0,4,2,1180.0,0.7777777777777778,2,object_04,1,7,0,0,7,forest_7,2,memory-2step-stake-s,530,1651883,0.0-19.0-0.0-0.6,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,3,4
7,1,object_08,object_05,516.0,2,1,479.0,1.0,2,object_04,1,16,0,1,9,desert_7,2,memory-2step-stake-s,531,1660743,0.0-19.0-0.0-0.7,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,2,1
8,2,object_10,object_01,373.0,3,2,655.0,0.3333333333333333,1,object_07,5,31,0,3,9,forest_5,2,memory-2step-stake-s,532,1669103,0.0-19.0-0.0-0.8,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,4,3
9,3,object_03,object_02,535.0,5,1,448.0,0.4444444444444444,1,object_07,1,35,0,4,8,library_7,2,memory-2step-stake-s,533,1677323,0.0-19.0-0.0-0.9,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,5,6
10,4,object_06,object_09,1076.0,7,2,701.0,0.3333333333333333,1,object_07,5,50,0,3,7,restaurant_6,2,memory-2step-stake-s,534,1685713,0.0-19.0-0.0-0.10,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,8,7
11,1,object_05,object_08,397.0,1,1,565.0,0.3333333333333333,1,object_07,5,65,0,3,8,desert_7,2,memory-2step-stake-s,535,1693953,0.0-19.0-0.0-0.11,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,1,2
12,4,object_06,object_09,498.0,7,2,534.0,0.1111111111111111,1,object_07,1,66,0,1,8,restaurant_1,2,memory-2step-stake-s,536,1701903,0.0-19.0-0.0-0.12,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,8,7
13,2,object_01,object_10,538.0,3,1,392.0,0.4444444444444444,1,object_07,5,86,0,4,5,forest_3,2,memory-2step-stake-s,537,1710053,0.0-19.0-0.0-0.13,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,3,4
14,2,object_01,object_10,445.0,4,2,539.0,0.3333333333333333,2,object_04,1,89,0,6,3,forest_7,2,memory-2step-stake-s,538,1718273,0.0-19.0-0.0-0.14,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,3,4
15,2,object_01,object_10,406.0,3,1,309.0,0.6666666666666666,1,object_07,5,119,0,6,3,forest_5,2,memory-2step-stake-s,539,1726613,0.0-19.0-0.0-0.15,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,3,4
16,1,object_08,object_05,547.0,1,2,413.0,0.6666666666666666,1,object_07,5,149,0,6,4,desert_2,2,memory-2step-stake-s,540,1735053,0.0-19.0-0.0-0.16,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,2,1
17,3,object_03,object_02,473.0,5,1,546.0,0.3333333333333333,1,object_07,5,164,0,3,3,library_5,2,memory-2step-stake-s,541,1743283,0.0-19.0-0.0-0.17,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,5,6
18,3,object_02,object_03,473.0,5,2,463.0,0.2222222222222222,1,object_07,1,166,0,2,1,library_3,2,memory-2step-stake-s,542,1751293,0.0-19.0-0.0-0.18,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,6,5
19,1,object_08,object_05,492.0,1,2,264.0,0.0,1,object_07,5,166,0,0,1,desert_6,2,memory-2step-stake-s,543,1758903,0.0-19.0-0.0-0.19,A80X2FTFDSR19,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,3Z4GS9HPNZQSY8EQXRH80DUIIP777Q,2,1
