,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_09,object_02,1069.1950000003,6,1,-1.0,0.0,2,object_10,5,0,0,6,0,library_3,1,memory-2step-stake-s,496,2191375,0.0-19.0-0.0-0.0,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,6,5
1,1,object_07,object_06,603.62500000047,2,2,337.91000000015,0.1111111111111111,2,object_10,1,1,0,5,1,desert_7,1,memory-2step-stake-s,497,2199033,0.0-19.0-0.0-0.1,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,1,2
2,1,object_06,object_07,655.82499999972,1,2,554.72999999998,0.6666666666666666,1,object_05,5,31,0,6,0,desert_2,1,memory-2step-stake-s,498,2207408,0.0-19.0-0.0-0.2,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,2,1
3,4,object_04,object_08,886.44000000041,7,1,451.43499999959,0.7777777777777778,1,object_05,5,66,0,7,0,restaurant_5,1,memory-2step-stake-s,499,2215784,0.0-19.0-0.0-0.3,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,7,8
4,1,object_06,object_07,714.42500000028,2,1,331.74500000011,0.2222222222222222,2,object_10,1,68,0,6,2,desert_2,1,memory-2step-stake-s,500,2223534,0.0-19.0-0.0-0.4,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,2,1
5,1,object_06,object_07,889.18500000006,2,1,353.81999999937,0.2222222222222222,2,object_10,1,70,0,7,2,desert_5,1,memory-2step-stake-s,501,2231303,0.0-19.0-0.0-0.5,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,2,1
6,3,object_02,object_09,957.39500000048,5,1,283.31499999994,0.7777777777777778,1,object_05,5,105,0,7,1,library_3,1,memory-2step-stake-s,502,2239518,0.0-19.0-0.0-0.6,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,5,6
7,1,object_06,object_07,742.21499999892,1,2,322.26500000013,0.8888888888888888,1,object_05,1,113,0,8,1,desert_7,1,memory-2step-stake-s,503,2247862,0.0-19.0-0.0-0.7,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,2,1
8,4,object_04,object_08,621.45499999961,8,2,301.38999999966,0.1111111111111111,2,object_10,1,114,0,8,1,restaurant_5,1,memory-2step-stake-s,504,2255480,0.0-19.0-0.0-0.8,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,7,8
9,3,object_02,object_09,868.71999999974,6,2,312.10999999987,0.0,2,object_10,1,114,0,9,0,library_5,1,memory-2step-stake-s,505,2263006,0.0-19.0-0.0-0.9,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,5,6
10,2,object_01,object_03,791.2200000002,3,2,262.62000000011,0.6666666666666666,1,object_05,5,144,0,6,0,forest_3,1,memory-2step-stake-s,506,2271094,0.0-19.0-0.0-0.10,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,4,3
11,4,object_04,object_08,813.12999999942,8,2,276.88000000035,0.0,2,object_10,5,144,0,5,0,restaurant_5,1,memory-2step-stake-s,507,2278583,0.0-19.0-0.0-0.11,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,7,8
12,1,object_07,object_06,836.86499999929,1,1,249.14500000002,0.5555555555555556,1,object_05,1,149,0,5,1,desert_2,1,memory-2step-stake-s,508,2286552,0.0-19.0-0.0-0.12,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,1,2
13,3,object_09,object_02,1174.835,6,1,334.21499999985,0.2222222222222222,2,object_10,5,159,0,5,2,library_5,1,memory-2step-stake-s,509,2294302,0.0-19.0-0.0-0.13,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,6,5
14,4,object_04,object_08,790.54500000086,8,2,276.71000000043,0.1111111111111111,2,object_10,5,164,0,1,1,restaurant_1,1,memory-2step-stake-s,510,2301892,0.0-19.0-0.0-0.14,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,7,8
15,4,object_04,object_08,1392.9900000002,7,1,335.8900000006,0.1111111111111111,1,object_05,5,169,0,1,1,restaurant_1,1,memory-2step-stake-s,511,2309543,0.0-19.0-0.0-0.15,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,7,8
16,2,object_03,object_01,868.53499999968,4,2,279.73999999976,0.0,2,object_10,5,169,0,3,0,forest_7,1,memory-2step-stake-s,512,2317039,0.0-19.0-0.0-0.16,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,3,4
17,3,object_02,object_09,1085.0599999996,6,2,263.97499999963,0.2222222222222222,2,object_10,5,179,0,3,2,library_6,1,memory-2step-stake-s,513,2324721,0.0-19.0-0.0-0.17,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,5,6
18,4,object_04,object_08,892.00999999978,8,2,253.20500000007,0.1111111111111111,2,object_10,1,180,0,5,1,restaurant_6,1,memory-2step-stake-s,514,2332289,0.0-19.0-0.0-0.18,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,7,8
19,3,object_02,object_09,1059.665,6,2,298.30499999924,0.1111111111111111,2,object_10,5,185,0,7,1,library_2,1,memory-2step-stake-s,515,2339905,0.0-19.0-0.0-0.19,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,5,6
20,3,object_09,object_02,809.99999999953,6,1,285.99500000011,0.4444444444444444,2,object_10,5,205,0,5,4,library_5,1,memory-2step-stake-s,516,2347811,0.0-19.0-0.0-0.20,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,6,5
21,2,object_01,object_03,1034.8199999998,4,1,275.52000000048,0.3333333333333333,2,object_10,1,208,0,3,3,forest_3,1,memory-2step-stake-s,517,2355602,0.0-19.0-0.0-0.21,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,4,3
22,1,object_07,object_06,987.18000000017,1,1,258.93499999959,0.3333333333333333,1,object_05,1,211,0,3,2,desert_5,1,memory-2step-stake-s,518,2363376,0.0-19.0-0.0-0.22,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,1,2
23,1,object_07,object_06,838.84499999927,2,2,510.61000000034,0.1111111111111111,2,object_10,1,212,0,2,1,desert_1,1,memory-2step-stake-s,519,2371201,0.0-19.0-0.0-0.23,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,1,2
24,1,object_06,object_07,691.15000000084,1,2,445.26999999955,0.3333333333333333,1,object_05,1,215,0,3,6,desert_7,1,memory-2step-stake-s,520,2379169,0.0-19.0-0.0-0.24,AAURS65ZO4SXC,3QGHA0EA1MGR4GKNSEWY8BJ80SRWBM,3EQHHY4HQW8W4XB8216586TFQKL5GY,2,1
