,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_09,object_10,1090.0999999642,7,1,-1.0,0.0,1,object_08,5,0,0,2,5,restaurant_2,2,memory-2step-stake-s,488,868017,0.0-19.0-0.0-0.0,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,7,8
1,3,object_04,object_06,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,2,3,library_6,2,memory-2step-stake-s,489,874552,0.0-19.0-0.0-0.1,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,5,6
2,1,object_05,object_07,602.80000001192,1,1,1449.1999999881,0.0,1,object_08,5,0,0,0,6,desert_8,2,memory-2step-stake-s,490,883242,0.0-19.0-0.0-0.2,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,1,2
3,1,object_05,object_07,1182.0,2,2,828.39999997616,0.6666666666666666,2,object_01,1,6,0,1,6,desert_7,2,memory-2step-stake-s,491,891953,0.0-19.0-0.0-0.3,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,1,2
4,4,object_10,object_09,896.19999998808,8,1,915.90000003576,0.7777777777777778,2,object_01,1,13,0,1,7,restaurant_6,2,memory-2step-stake-s,492,900859,0.0-19.0-0.0-0.4,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,8,7
5,3,object_04,object_06,871.80000001192,5,1,453.69999998808,0.1111111111111111,1,object_08,1,14,0,1,7,library_8,2,memory-2step-stake-s,493,908663,0.0-19.0-0.0-0.5,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,5,6
6,1,object_05,object_07,880.39999997616,2,2,582.80000001192,0.4444444444444444,2,object_01,5,34,0,1,4,desert_7,2,memory-2step-stake-s,494,916913,0.0-19.0-0.0-0.6,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,1,2
7,3,object_04,object_06,729.40000003576,5,1,410.90000003576,0.1111111111111111,1,object_08,1,35,0,1,4,library_1,2,memory-2step-stake-s,495,924673,0.0-19.0-0.0-0.7,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,5,6
8,2,object_03,object_02,955.60000002384,3,2,527.30000001192,0.2222222222222222,1,object_08,5,45,0,2,2,forest_6,2,memory-2step-stake-s,496,932657,0.0-19.0-0.0-0.8,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,4,3
9,4,object_10,object_09,969.60000002384,8,1,557.39999997616,0.3333333333333333,2,object_01,1,48,0,1,3,restaurant_5,2,memory-2step-stake-s,497,940774,0.0-19.0-0.0-0.9,AB60ITQGDVHF0,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,374TNBHA8FBLJAF6GZGEDHVARDYQYW,8,7
