,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_09,object_03,695.0,2,2,1232.6000000006,0.1111111111111111,2,object_10,5,5,0,8,1,desert_3,2,memory-2step-stake-s,489,656856,0.0-19.0-0.0-0.0,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,1,2
1,3,object_01,object_07,163.5,6,2,795.39999999944,0.2222222222222222,2,object_10,1,7,0,8,2,library_6,2,memory-2step-stake-s,490,665083,0.0-19.0-0.0-0.1,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,5,6
2,1,object_09,object_03,670.20000000019,1,1,1000.6999999993,0.8888888888888888,1,object_08,5,47,0,8,0,desert_8,2,memory-2step-stake-s,491,674119,0.0-19.0-0.0-0.2,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,1,2
3,2,object_05,object_04,921.79999999981,3,1,634.19999999925,0.7777777777777778,1,object_08,5,82,0,7,1,forest_4,2,memory-2step-stake-s,492,682681,0.0-19.0-0.0-0.3,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,3,4
4,3,object_07,object_01,1088.6999999993,5,2,687.29999999981,0.8888888888888888,1,object_08,1,90,0,8,3,library_7,2,memory-2step-stake-s,493,691398,0.0-19.0-0.0-0.4,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,6,5
5,4,object_02,object_06,1267.6000000006,7,1,418.0,0.8888888888888888,1,object_08,1,98,0,8,1,restaurant_1,2,memory-2step-stake-s,494,699844,0.0-19.0-0.0-0.5,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,7,8
6,4,object_06,object_02,532.60000000056,7,2,398.20000000019,0.6666666666666666,1,object_08,1,104,0,6,4,restaurant_7,2,memory-2step-stake-s,495,708082,0.0-19.0-0.0-0.6,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,8,7
7,2,object_04,object_05,1011.5999999996,3,2,403.80000000075,0.7777777777777778,1,object_08,5,139,0,7,3,forest_2,2,memory-2step-stake-s,496,716424,0.0-19.0-0.0-0.7,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,4,3
8,2,object_05,object_04,465.20000000019,3,1,344.89999999944,1.0,1,object_08,5,184,0,9,3,forest_2,2,memory-2step-stake-s,497,724895,0.0-19.0-0.0-0.8,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,3,4
9,1,object_09,object_03,840.40000000037,1,1,471.29999999981,1.0,1,object_08,5,229,0,9,3,desert_1,2,memory-2step-stake-s,498,733518,0.0-19.0-0.0-0.9,AB8BRFF4ZTZ40,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,3NG53N1RLZZL4SN93I3VEZHYT148P2,1,2
