,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_07,object_01,1098.6000000015,4,1,1049.9000000022,0.1111111111111111,2,object_10,1,1,0,7,1,forest_7,1,memory-2step-stake-s,492,1247874,0.0-19.0-0.0-0.0,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,4,3
1,1,object_02,object_08,-1.0,-1,-1,-1.0,0.0,-,0,1,1,0,7,3,desert_2,1,memory-2step-stake-s,493,1254423,0.0-19.0-0.0-0.1,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,2,1
2,4,object_04,object_09,643.10000000149,8,2,550.0,0.1111111111111111,2,object_10,1,2,0,6,1,restaurant_3,1,memory-2step-stake-s,494,1262310,0.0-19.0-0.0-0.2,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,7,8
3,3,object_05,object_06,734.80000000075,5,2,622.19999999925,0.8888888888888888,1,object_03,1,10,0,8,1,library_7,1,memory-2step-stake-s,495,1271003,0.0-19.0-0.0-0.3,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,6,5
4,2,object_01,object_07,827.10000000149,4,2,387.69999999925,0.5555555555555556,2,object_10,1,15,0,7,5,forest_2,1,memory-2step-stake-s,496,1279163,0.0-19.0-0.0-0.4,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,3,4
5,1,object_08,object_02,1074.5,2,2,343.19999999925,0.5555555555555556,2,object_10,5,40,0,6,5,desert_5,1,memory-2step-stake-s,497,1287264,0.0-19.0-0.0-0.5,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,1,2
6,4,object_09,object_04,869.89999999851,8,1,413.60000000149,0.7777777777777778,2,object_10,5,75,0,6,7,restaurant_6,1,memory-2step-stake-s,498,1295654,0.0-19.0-0.0-0.6,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,8,7
7,3,object_06,object_05,883.69999999925,5,1,400.09999999776,0.3333333333333333,1,object_03,5,90,0,3,5,library_7,1,memory-2step-stake-s,499,1303608,0.0-19.0-0.0-0.7,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,5,6
8,1,object_02,object_08,1003.3999999985,2,1,334.20000000298,0.6666666666666666,2,object_10,5,120,0,5,6,desert_5,1,memory-2step-stake-s,500,1311830,0.0-19.0-0.0-0.8,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,2,1
9,2,object_07,object_01,742.39999999851,3,2,429.40000000224,0.8888888888888888,1,object_03,1,128,0,8,8,forest_7,1,memory-2step-stake-s,501,1320342,0.0-19.0-0.0-0.9,AEWGY34WUIA32,3VGZ74AYUJWEHZMTR9OBXS32OP2GCF,3IXEICO796ZWS6XSRKFHZVM4C9XT64,4,3
