,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_08,object_02,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,8,1,restaurant_7,2,memory-2step-stake-s,512,3772848,0.0-19.0-0.0-0.0,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,7,8
1,3,object_09,object_06,831.79999999888,5,2,-1.0,0.0,1,object_05,1,0,0,8,2,library_4,2,memory-2step-stake-s,513,3781424,0.0-19.0-0.0-0.1,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,6,5
2,3,object_09,object_06,619.90000000037,5,2,800.80000000075,0.7777777777777778,1,object_05,5,35,0,7,2,library_8,2,memory-2step-stake-s,514,3790302,0.0-19.0-0.0-0.2,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,6,5
3,3,object_09,object_06,536.70000000112,5,2,570.90000000037,0.6666666666666666,1,object_05,1,41,0,6,4,library_3,2,memory-2step-stake-s,515,3798781,0.0-19.0-0.0-0.3,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,6,5
4,4,object_02,object_08,1063.4000000004,7,2,725.29999999888,0.8888888888888888,1,object_05,1,49,0,8,4,restaurant_2,2,memory-2step-stake-s,516,3807634,0.0-19.0-0.0-0.4,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,8,7
5,3,object_06,object_09,816.90000000037,6,2,721.90000000037,0.3333333333333333,2,object_03,5,64,0,8,3,library_5,2,memory-2step-stake-s,517,3815932,0.0-19.0-0.0-0.5,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,5,6
6,4,object_08,object_02,1201.9000000004,7,1,869.89999999851,0.8888888888888888,1,object_05,1,72,0,8,7,restaurant_5,2,memory-2step-stake-s,518,3824917,0.0-19.0-0.0-0.6,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,7,8
7,3,object_09,object_06,636.79999999888,5,2,490.5,0.7777777777777778,1,object_05,1,79,0,7,7,library_3,2,memory-2step-stake-s,519,3833470,0.0-19.0-0.0-0.7,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,6,5
8,4,object_08,object_02,-1.0,-1,-1,-1.0,0.0,-,0,1,79,0,9,7,restaurant_5,2,memory-2step-stake-s,520,3840037,0.0-19.0-0.0-0.8,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,7,8
9,4,object_08,object_02,508.29999999888,7,1,373.69999999925,0.6666666666666666,1,object_05,1,85,0,6,5,restaurant_2,2,memory-2step-stake-s,521,3848308,0.0-19.0-0.0-0.9,AGILQEFEPEK7N,3MQKOF1EF54KJDI76AN431783D3WDT,3ZY8KE4ISNJ4FGK1BOTU6IRG9VPQVE,7,8
