,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_06,object_02,680.79999995232,1,2,-1.0,0.0,1,object_05,5,0,0,1,1,desert_2,2,memory-2step-stake-s,491,1147541,0.0-19.0-0.0-0.0,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,2,1
1,2,object_10,object_09,759.79999995232,4,1,346.10000002384,0.2222222222222222,2,object_08,5,10,0,2,2,forest_7,2,memory-2step-stake-s,492,1155313,0.0-19.0-0.0-0.1,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,4,3
2,4,object_01,object_03,739.29999995232,8,1,476.0,0.2222222222222222,2,object_08,5,20,0,5,2,restaurant_2,2,memory-2step-stake-s,493,1163210,0.0-19.0-0.0-0.2,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,8,7
3,3,object_04,object_07,759.0,5,2,551.20000004768,0.3333333333333333,1,object_05,1,23,0,3,1,library_4,2,memory-2step-stake-s,494,1171286,0.0-19.0-0.0-0.3,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,6,5
4,2,object_10,object_09,603.0,4,1,-1.0,0.0,2,object_08,5,23,0,2,1,forest_6,2,memory-2step-stake-s,495,1179805,0.0-19.0-0.0-0.4,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,4,3
5,3,object_07,object_04,541.90000009537,5,1,711.90000009537,0.3333333333333333,1,object_05,1,26,0,3,3,library_8,2,memory-2step-stake-s,496,1188038,0.0-19.0-0.0-0.5,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,5,6
6,2,object_10,object_09,437.30000007153,4,1,510.79999995232,0.4444444444444444,2,object_08,5,46,0,3,4,forest_7,2,memory-2step-stake-s,497,1196179,0.0-19.0-0.0-0.6,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,4,3
7,1,object_06,object_02,1415.0,1,2,799.10000002384,0.1111111111111111,1,object_05,5,51,0,1,6,desert_7,2,memory-2step-stake-s,498,1204304,0.0-19.0-0.0-0.7,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,2,1
8,4,object_01,object_03,721.30000007153,8,1,739.70000004768,0.4444444444444444,2,object_08,1,55,0,2,4,restaurant_5,2,memory-2step-stake-s,499,1212665,0.0-19.0-0.0-0.8,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,8,7
9,2,object_10,object_09,447.90000009537,4,1,-1.0,0.0,2,object_08,5,55,0,5,5,forest_2,2,memory-2step-stake-s,500,1221183,0.0-19.0-0.0-0.9,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,4,3
10,4,object_01,object_03,902.70000004768,7,2,303.19999992847,0.5555555555555556,1,object_05,1,60,0,5,5,restaurant_7,2,memory-2step-stake-s,501,1229217,0.0-19.0-0.0-0.10,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,8,7
11,2,object_09,object_10,764.59999990463,4,2,804.69999992847,0.4444444444444444,2,object_08,1,64,0,4,4,forest_1,2,memory-2step-stake-s,502,1237649,0.0-19.0-0.0-0.11,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,3,4
12,4,object_01,object_03,937.0,7,2,896.10000002384,0.4444444444444444,1,object_05,1,68,0,4,8,restaurant_5,2,memory-2step-stake-s,503,1246176,0.0-19.0-0.0-0.12,AJFIMLAWP65TE,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3OONKJ5DKGZMLQ9FRUAQG129R2TOB0,8,7
