,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_04,object_07,932.37500000035,7,1,584.98000000149,0.7777777777777778,1,object_10,5,35,0,7,2,restaurant_3,1,memory-2step-stake-s,496,790002,0.0-19.0-0.0-0.0,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,7,8
1,2,object_05,object_09,763.61999999965,4,2,584.80000000051,0.0,2,object_01,1,35,0,7,0,forest_8,1,memory-2step-stake-s,497,797795,0.0-19.0-0.0-0.1,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,3,4
2,1,object_06,object_02,434.70499999961,2,1,879.77500000119,0.1111111111111111,2,object_01,1,36,0,8,1,desert_2,1,memory-2step-stake-s,498,805984,0.0-19.0-0.0-0.2,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,2,1
3,1,object_06,object_02,597.23499999929,2,1,585.84499999962,0.0,2,object_01,1,36,0,7,0,desert_5,1,memory-2step-stake-s,499,813779,0.0-19.0-0.0-0.3,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,2,1
4,3,object_08,object_03,634.95999999938,5,2,543.85000000009,0.7777777777777778,1,object_10,5,71,0,7,0,library_3,1,memory-2step-stake-s,500,822235,0.0-19.0-0.0-0.4,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,6,5
5,3,object_08,object_03,658.625,6,1,791.95000000077,0.2222222222222222,2,object_01,5,81,0,6,2,library_4,1,memory-2step-stake-s,501,830437,0.0-19.0-0.0-0.5,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,6,5
6,3,object_03,object_08,688.73999999964,6,2,598.0349999991,0.2222222222222222,2,object_01,5,91,0,5,2,library_8,1,memory-2step-stake-s,502,838444,0.0-19.0-0.0-0.6,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,5,6
7,1,object_02,object_06,953.81000000087,1,1,727.02000000025,0.4444444444444444,1,object_10,1,95,0,4,7,desert_2,1,memory-2step-stake-s,503,846780,0.0-19.0-0.0-0.7,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,1,2
8,2,object_09,object_05,618.22500000021,4,1,463.90000000072,0.5555555555555556,2,object_01,1,100,0,4,5,forest_6,1,memory-2step-stake-s,504,854953,0.0-19.0-0.0-0.8,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,4,3
9,1,object_02,object_06,501.82999999926,2,2,370.25,0.5555555555555556,2,object_01,1,105,0,2,5,desert_3,1,memory-2step-stake-s,505,863034,0.0-19.0-0.0-0.9,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,1,2
10,4,object_04,object_07,829.0199999992,8,2,1242.5199999998,0.1111111111111111,2,object_01,5,110,0,1,1,restaurant_7,1,memory-2step-stake-s,506,871583,0.0-19.0-0.0-0.10,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,7,8
11,4,object_04,object_07,568.04499999993,7,1,44.695000000414,0.2222222222222222,1,object_10,1,112,0,2,4,restaurant_3,1,memory-2step-stake-s,507,879036,0.0-19.0-0.0-0.11,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,7,8
12,2,object_05,object_09,298.96999999986,3,1,463.50000000163,0.2222222222222222,1,object_10,1,114,0,2,3,forest_5,1,memory-2step-stake-s,508,886908,0.0-19.0-0.0-0.12,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,3,4
13,1,object_06,object_02,562.68000000098,1,2,303.49500000011,0.4444444444444444,1,object_10,1,118,0,4,2,desert_5,1,memory-2step-stake-s,509,894821,0.0-19.0-0.0-0.13,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,2,1
14,2,object_05,object_09,682.62999999931,3,1,511.62999999907,0.5555555555555556,1,object_10,1,123,0,5,1,forest_8,1,memory-2step-stake-s,510,903041,0.0-19.0-0.0-0.14,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,3,4
15,1,object_02,object_06,662.40000000107,1,1,347.14999999967,0.7777777777777778,1,object_10,1,130,0,7,0,desert_3,1,memory-2step-stake-s,511,911298,0.0-19.0-0.0-0.15,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,1,2
16,1,object_02,object_06,652.76999999874,1,1,473.05000000051,0.4444444444444444,1,object_10,1,134,0,4,0,desert_3,1,memory-2step-stake-s,512,919380,0.0-19.0-0.0-0.16,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,1,2
17,3,object_08,object_03,257.96500000067,5,2,526.42999999993,0.4444444444444444,1,object_10,5,154,0,4,3,library_8,1,memory-2step-stake-s,513,927516,0.0-19.0-0.0-0.17,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,6,5
18,4,object_07,object_04,466.61999999918,8,1,479.96500000043,0.4444444444444444,2,object_01,5,174,0,5,4,restaurant_1,1,memory-2step-stake-s,514,935606,0.0-19.0-0.0-0.18,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,8,7
19,2,object_05,object_09,585.00999999885,4,2,310.625,0.2222222222222222,2,object_01,1,176,0,6,2,forest_2,1,memory-2step-stake-s,515,943323,0.0-19.0-0.0-0.19,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,3,4
20,2,object_05,object_09,147.4949999993,3,1,600.92499999888,0.7777777777777778,1,object_10,1,183,0,7,1,forest_6,1,memory-2step-stake-s,516,951834,0.0-19.0-0.0-0.20,ALCPF5NANBDSZ,3QX22DUVPRXA8IOFTTHB0PBO5I3MV1,38JBBYETQSQGO0BHI1X73B2PDA54E9,3,4
