,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,2,object_05,object_06,708.73500034213,3,1,1071.8450006098,0.1111111111111111,1,object_09,1,1,0,1,6,forest_1,1,memory-2step-stake-s,488,852735,0.0-19.0-0.0-0.0,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,3,4
1,4,object_10,object_01,680.9849999845,8,1,539.38999958336,1.0,2,object_03,5,46,0,4,9,restaurant_4,1,memory-2step-stake-s,489,861436,0.0-19.0-0.0-0.1,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,8,7
2,3,object_02,object_08,947.9099996388,5,1,375.85500068963,0.3333333333333333,1,object_09,5,61,0,3,7,library_1,1,memory-2step-stake-s,490,869326,0.0-19.0-0.0-0.2,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,5,6
3,4,object_10,object_01,1410.6799997389,8,1,342.28499978781,0.5555555555555556,2,object_03,5,86,0,2,5,restaurant_6,1,memory-2step-stake-s,491,877386,0.0-19.0-0.0-0.3,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,8,7
4,3,object_02,object_08,930.80000020564,6,2,349.83999840915,0.4444444444444444,2,object_03,5,106,0,1,4,library_4,1,memory-2step-stake-s,492,885349,0.0-19.0-0.0-0.4,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,5,6
5,4,object_01,object_10,1206.2400002033,8,2,379.08999994397,0.4444444444444444,2,object_03,5,126,0,0,4,restaurant_7,1,memory-2step-stake-s,493,893344,0.0-19.0-0.0-0.5,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,7,8
6,3,object_02,object_08,1124.944999814,6,2,295.22000066936,0.2222222222222222,2,object_03,1,128,0,1,2,library_1,1,memory-2step-stake-s,494,901054,0.0-19.0-0.0-0.6,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,5,6
7,1,object_04,object_07,840.08499979973,1,1,428.51500026882,0.2222222222222222,1,object_09,1,130,0,2,1,desert_6,1,memory-2step-stake-s,495,908894,0.0-19.0-0.0-0.7,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,1,2
8,2,object_06,object_05,1128.7050005049,4,1,404.10500019789,0.1111111111111111,2,object_03,1,131,0,3,1,forest_1,1,memory-2step-stake-s,496,916613,0.0-19.0-0.0-0.8,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,4,3
9,2,object_05,object_06,1450.6249986589,4,2,469.99499946833,0.1111111111111111,2,object_03,1,132,0,4,1,forest_6,1,memory-2step-stake-s,497,924396,0.0-19.0-0.0-0.9,APGX2WZ59OWDN,3DW3BNF1HKYVNTMBZS7SV7ATLD58VQ,3M68NM076LNJCRK0NVAMZGLMOO26R6,3,4
