,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_08,object_01,-1.0,-1,-1,-1.0,0.0,-,0,1,0,0,2,4,library_4,2,memory-2step-stake-s,488,950810,0.0-19.0-0.0-0.0,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,5,6
1,2,object_06,object_02,576.10000038147,3,1,-1.0,0.0,1,object_03,5,0,0,3,3,forest_2,2,memory-2step-stake-s,489,959323,0.0-19.0-0.0-0.1,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,3,4
2,1,object_07,object_09,390.5999994278,2,1,410.30000019073,0.1111111111111111,2,object_10,5,5,0,2,1,desert_4,2,memory-2step-stake-s,490,967063,0.0-19.0-0.0-0.2,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,2,1
3,3,object_08,object_01,506.60000038147,5,1,469.5,0.0,1,object_03,5,5,0,0,1,library_4,2,memory-2step-stake-s,491,974746,0.0-19.0-0.0-0.3,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,5,6
4,1,object_09,object_07,519.4000005722,2,2,548.30000019073,0.3333333333333333,2,object_10,5,20,0,2,3,desert_6,2,memory-2step-stake-s,492,982814,0.0-19.0-0.0-0.4,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,1,2
5,4,object_05,object_04,595.10000038147,7,2,708.70000076294,0.5555555555555556,1,object_03,1,25,0,5,2,restaurant_2,2,memory-2step-stake-s,493,991244,0.0-19.0-0.0-0.5,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,8,7
6,3,object_01,object_08,589.5,6,1,521.29999923706,0.1111111111111111,2,object_10,1,26,0,5,1,library_7,2,memory-2step-stake-s,494,999082,0.0-19.0-0.0-0.6,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,6,5
7,3,object_01,object_08,584.0,6,1,570.9000005722,0.2222222222222222,2,object_10,1,28,0,6,2,library_6,2,memory-2step-stake-s,495,1007069,0.0-19.0-0.0-0.7,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,6,5
8,3,object_01,object_08,700.60000038147,5,2,536.10000038147,0.6666666666666666,1,object_03,5,58,0,6,4,library_8,2,memory-2step-stake-s,496,1015432,0.0-19.0-0.0-0.8,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,6,5
9,1,object_09,object_07,609.69999980927,2,2,444.30000019073,0.6666666666666666,2,object_10,5,88,0,8,6,desert_4,2,memory-2step-stake-s,497,1023697,0.0-19.0-0.0-0.9,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,1,2
10,3,object_01,object_08,576.69999980927,5,2,471.5,0.7777777777777778,1,object_03,1,95,0,7,7,library_8,2,memory-2step-stake-s,498,1032096,0.0-19.0-0.0-0.10,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,6,5
11,4,object_04,object_05,568.10000038147,8,2,523.5999994278,1.0,2,object_10,1,104,0,4,9,restaurant_2,2,memory-2step-stake-s,499,1040758,0.0-19.0-0.0-0.11,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,7,8
12,2,object_02,object_06,685.39999961853,4,1,425.5999994278,1.0,2,object_10,5,149,0,5,9,forest_2,2,memory-2step-stake-s,500,1049318,0.0-19.0-0.0-0.12,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,4,3
13,1,object_07,object_09,588.19999980927,1,2,552.30000019073,0.5555555555555556,1,object_03,5,174,0,5,4,desert_8,2,memory-2step-stake-s,501,1057595,0.0-19.0-0.0-0.13,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,2,1
14,4,object_05,object_04,768.0,8,1,440.19999980927,0.6666666666666666,2,object_10,5,204,0,6,6,restaurant_7,2,memory-2step-stake-s,502,1065870,0.0-19.0-0.0-0.14,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,8,7
15,1,object_09,object_07,667.69999980927,1,1,406.9000005722,1.0,1,object_03,5,249,0,9,7,desert_6,2,memory-2step-stake-s,503,1074413,0.0-19.0-0.0-0.15,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,1,2
16,3,object_01,object_08,615.0999994278,5,2,481.69999980927,0.8888888888888888,1,object_03,1,257,0,8,5,library_6,2,memory-2step-stake-s,504,1082920,0.0-19.0-0.0-0.16,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,6,5
17,4,object_04,object_05,1009.6000003815,7,1,458.89999961853,1.0,1,object_03,5,302,0,9,7,restaurant_7,2,memory-2step-stake-s,505,1091507,0.0-19.0-0.0-0.17,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,7,8
18,3,object_01,object_08,815.39999961853,5,2,477.0,0.8888888888888888,1,object_03,1,310,0,8,5,library_4,2,memory-2step-stake-s,506,1100024,0.0-19.0-0.0-0.18,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,6,5
19,2,object_06,object_02,667.10000038147,4,2,462.19999980927,0.5555555555555556,2,object_10,5,335,0,7,5,forest_7,2,memory-2step-stake-s,507,1108209,0.0-19.0-0.0-0.19,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,3,4
20,4,object_05,object_04,643.30000019073,8,1,476.80000019073,0.2222222222222222,2,object_10,5,345,0,5,2,restaurant_3,2,memory-2step-stake-s,508,1116117,0.0-19.0-0.0-0.20,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,8,7
21,4,object_05,object_04,629.0,8,1,494.10000038147,0.4444444444444444,2,object_10,1,349,0,6,4,restaurant_7,2,memory-2step-stake-s,509,1124239,0.0-19.0-0.0-0.21,AQ0YWEW29GSIJ,3YO4AH2FQG0L0WLRIP03W553LNE0Q1,352YTHGROZTS8A2J825DOEZ25OXH4Y,8,7
