,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,3,object_04,object_10,873.20000001788,5,1,1012.0,0.1111111111111111,1,object_06,5,5,0,1,1,library_7,1,memory-2step-stake-s,505,1022165,0.0-19.0-0.0-0.0,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
1,1,object_01,object_02,859.40000000596,2,2,610.5,0.1111111111111111,2,object_09,1,6,0,1,1,desert_6,1,memory-2step-stake-s,506,1030161,0.0-19.0-0.0-0.1,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
2,3,object_04,object_10,660.5,6,2,941.29999998212,0.2222222222222222,2,object_09,5,16,0,1,2,library_4,1,memory-2step-stake-s,507,1038635,0.0-19.0-0.0-0.2,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
3,3,object_04,object_10,1284.2000000179,5,1,585.09999999404,0.1111111111111111,1,object_06,5,21,0,1,1,library_7,1,memory-2step-stake-s,508,1046619,0.0-19.0-0.0-0.3,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
4,4,object_03,object_05,1322.7000000179,8,2,989.70000001788,0.5555555555555556,2,object_09,5,46,0,4,5,restaurant_7,1,memory-2step-stake-s,509,1055411,0.0-19.0-0.0-0.4,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
5,4,object_05,object_03,836.40000000596,8,1,575.09999999404,0.6666666666666666,2,object_09,5,76,0,1,6,restaurant_4,1,memory-2step-stake-s,510,1063916,0.0-19.0-0.0-0.5,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
6,4,object_05,object_03,592.5,8,1,480.5,0.5555555555555556,2,object_09,1,81,0,1,5,restaurant_8,1,memory-2step-stake-s,511,1072231,0.0-19.0-0.0-0.6,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
7,2,object_07,object_08,1186.599999994,4,2,568.40000000596,0.7777777777777778,2,object_09,1,88,0,0,7,forest_2,1,memory-2step-stake-s,512,1080821,0.0-19.0-0.0-0.7,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
8,3,object_10,object_04,-1.0,-1,-1,-1.0,0.0,-,0,1,88,0,1,5,library_6,1,memory-2step-stake-s,513,1087391,0.0-19.0-0.0-0.8,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,6,5
9,2,object_08,object_07,643.20000001788,4,1,506.80000001192,0.5555555555555556,2,object_09,1,93,0,1,5,forest_5,1,memory-2step-stake-s,514,1095721,0.0-19.0-0.0-0.9,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,4,3
10,1,object_02,object_01,1176.7000000179,2,1,722.19999998808,0.8888888888888888,2,object_09,1,101,0,3,8,desert_5,1,memory-2step-stake-s,515,1104583,0.0-19.0-0.0-0.10,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
11,4,object_03,object_05,812.90000000596,8,2,-1.0,0.0,2,object_09,1,101,0,3,6,restaurant_4,1,memory-2step-stake-s,516,1113171,0.0-19.0-0.0-0.11,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
12,2,object_07,object_08,839.80000001192,4,2,498.19999998808,0.6666666666666666,2,object_09,1,107,0,1,6,forest_4,1,memory-2step-stake-s,517,1121623,0.0-19.0-0.0-0.12,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
13,2,object_08,object_07,467.0,4,1,357.59999999404,0.8888888888888888,2,object_09,5,147,0,1,8,forest_6,1,memory-2step-stake-s,518,1130130,0.0-19.0-0.0-0.13,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,4,3
14,4,object_03,object_05,730.80000001192,8,2,610.19999998808,0.8888888888888888,2,object_09,1,155,0,3,8,restaurant_4,1,memory-2step-stake-s,519,1138941,0.0-19.0-0.0-0.14,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
15,1,object_01,object_02,906.5,2,2,381.90000000596,0.8888888888888888,2,object_09,1,163,0,3,8,desert_3,1,memory-2step-stake-s,520,1147471,0.0-19.0-0.0-0.15,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
16,4,object_03,object_05,649.20000001788,8,2,319.5,0.7777777777777778,2,object_09,5,198,0,3,7,restaurant_3,1,memory-2step-stake-s,521,1155813,0.0-19.0-0.0-0.16,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
17,3,object_10,object_04,889.90000000596,6,1,617.40000000596,0.7777777777777778,2,object_09,1,205,0,4,7,library_8,1,memory-2step-stake-s,522,1164442,0.0-19.0-0.0-0.17,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,6,5
18,2,object_07,object_08,979.59999999404,3,1,734.40000000596,0.4444444444444444,1,object_06,1,209,0,4,5,forest_4,1,memory-2step-stake-s,523,1172881,0.0-19.0-0.0-0.18,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
19,3,object_04,object_10,994.5,5,1,910.20000001788,0.4444444444444444,1,object_06,1,213,0,4,5,library_8,1,memory-2step-stake-s,524,1181501,0.0-19.0-0.0-0.19,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
20,2,object_08,object_07,804.80000001192,4,1,598.5,0.5555555555555556,2,object_09,5,238,0,1,5,forest_5,1,memory-2step-stake-s,525,1189941,0.0-19.0-0.0-0.20,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,4,3
21,4,object_03,object_05,466.70000001788,8,2,636.90000000596,0.8888888888888888,2,object_09,5,278,0,0,8,restaurant_7,1,memory-2step-stake-s,526,1198674,0.0-19.0-0.0-0.21,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
22,4,object_03,object_05,674.79999998212,8,2,469.69999998808,0.7777777777777778,2,object_09,5,313,0,3,7,restaurant_3,1,memory-2step-stake-s,527,1207236,0.0-19.0-0.0-0.22,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
23,1,object_02,object_01,732.39999997616,2,1,718.0,0.8888888888888888,2,object_09,1,321,0,3,8,desert_5,1,memory-2step-stake-s,528,1216102,0.0-19.0-0.0-0.23,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
24,3,object_04,object_10,1248.099999994,6,2,683.59999999404,0.8888888888888888,2,object_09,1,329,0,3,8,library_4,1,memory-2step-stake-s,529,1224901,0.0-19.0-0.0-0.24,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
25,4,object_03,object_05,412.40000000596,8,2,387.09999999404,1.0,2,object_09,5,374,0,4,9,restaurant_3,1,memory-2step-stake-s,530,1233587,0.0-19.0-0.0-0.25,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
26,1,object_02,object_01,584.09999999404,2,1,289.20000001788,0.8888888888888888,2,object_09,5,414,0,6,8,desert_5,1,memory-2step-stake-s,531,1242060,0.0-19.0-0.0-0.26,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
27,1,object_01,object_02,508.5,2,2,350.29999998212,0.7777777777777778,2,object_09,1,421,0,9,7,desert_6,1,memory-2step-stake-s,532,1250436,0.0-19.0-0.0-0.27,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
28,4,object_05,object_03,697.5,8,1,327.59999999404,0.8888888888888888,2,object_09,5,461,0,5,8,restaurant_4,1,memory-2step-stake-s,533,1258881,0.0-19.0-0.0-0.28,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
29,1,object_02,object_01,738.0,2,1,526.29999998212,0.7777777777777778,2,object_09,1,468,0,3,7,desert_4,1,memory-2step-stake-s,534,1267461,0.0-19.0-0.0-0.29,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
30,3,object_04,object_10,764.80000001192,6,2,388.80000001192,1.0,2,object_09,5,513,0,5,9,library_8,1,memory-2step-stake-s,535,1276142,0.0-19.0-0.0-0.30,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
31,4,object_05,object_03,614.19999998808,8,1,385.29999998212,0.4444444444444444,2,object_09,5,533,0,6,4,restaurant_7,1,memory-2step-stake-s,536,1284231,0.0-19.0-0.0-0.31,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
32,2,object_07,object_08,657.70000001788,3,1,389.0,0.4444444444444444,1,object_06,1,537,0,4,6,forest_5,1,memory-2step-stake-s,537,1292341,0.0-19.0-0.0-0.32,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
33,3,object_10,object_04,853.69999998808,6,1,407.39999997616,0.4444444444444444,2,object_09,5,557,0,6,4,library_8,1,memory-2step-stake-s,538,1300431,0.0-19.0-0.0-0.33,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,6,5
34,4,object_05,object_03,1100.1999999881,8,1,517.5,0.1111111111111111,2,object_09,5,562,0,4,1,restaurant_8,1,memory-2step-stake-s,539,1308322,0.0-19.0-0.0-0.34,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
35,3,object_04,object_10,835.19999998808,5,1,653.40000000596,0.1111111111111111,1,object_06,5,567,0,1,1,library_6,1,memory-2step-stake-s,540,1316361,0.0-19.0-0.0-0.35,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
36,1,object_02,object_01,686.70000001788,1,2,374.90000000596,0.2222222222222222,1,object_06,1,569,0,2,2,desert_3,1,memory-2step-stake-s,541,1324202,0.0-19.0-0.0-0.36,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
37,1,object_02,object_01,631.09999999404,2,1,321.59999999404,0.1111111111111111,2,object_09,1,570,0,2,1,desert_5,1,memory-2step-stake-s,542,1331906,0.0-19.0-0.0-0.37,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
38,2,object_07,object_08,819.19999998808,4,2,430.19999998808,0.1111111111111111,2,object_09,1,571,0,1,1,forest_6,1,memory-2step-stake-s,543,1339711,0.0-19.0-0.0-0.38,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
39,2,object_08,object_07,554.90000000596,3,2,251.19999998808,0.2222222222222222,1,object_06,1,573,0,2,1,forest_4,1,memory-2step-stake-s,544,1347479,0.0-19.0-0.0-0.39,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,4,3
40,3,object_04,object_10,945.20000001788,5,1,353.79999998212,0.0,1,object_06,5,573,0,0,0,library_8,1,memory-2step-stake-s,545,1355101,0.0-19.0-0.0-0.40,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
41,3,object_04,object_10,1274.0,6,2,333.5,0.1111111111111111,2,object_09,5,578,0,3,1,library_6,1,memory-2step-stake-s,546,1362830,0.0-19.0-0.0-0.41,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
42,4,object_05,object_03,736.40000000596,7,2,297.09999999404,0.3333333333333333,1,object_06,1,581,0,3,1,restaurant_7,1,memory-2step-stake-s,547,1370785,0.0-19.0-0.0-0.42,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
43,2,object_07,object_08,688.80000001192,3,1,376.0,0.6666666666666666,1,object_06,5,611,0,6,2,forest_4,1,memory-2step-stake-s,548,1379102,0.0-19.0-0.0-0.43,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
44,1,object_01,object_02,884.79999998212,1,1,1494.599999994,0.4444444444444444,1,object_06,1,615,0,4,2,desert_4,1,memory-2step-stake-s,549,1388375,0.0-19.0-0.0-0.44,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
45,2,object_07,object_08,926.90000000596,3,1,375.09999999404,0.7777777777777778,1,object_06,5,650,0,7,4,forest_6,1,memory-2step-stake-s,550,1396827,0.0-19.0-0.0-0.45,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
46,2,object_07,object_08,706.59999999404,3,1,-1.0,0.0,1,object_06,1,650,0,5,3,forest_4,1,memory-2step-stake-s,551,1405395,0.0-19.0-0.0-0.46,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
47,1,object_01,object_02,490.19999998808,1,1,387.80000001192,0.6666666666666666,1,object_06,1,656,0,6,2,desert_5,1,memory-2step-stake-s,552,1413701,0.0-19.0-0.0-0.47,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
48,2,object_07,object_08,731.40000000596,3,1,342.0,0.4444444444444444,1,object_06,5,676,0,4,0,forest_5,1,memory-2step-stake-s,553,1421791,0.0-19.0-0.0-0.48,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
49,1,object_02,object_01,1181.099999994,1,2,839.19999998808,0.8888888888888888,1,object_06,1,684,0,8,4,desert_3,1,memory-2step-stake-s,554,1430781,0.0-19.0-0.0-0.49,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
50,1,object_02,object_01,744.79999998212,1,2,680.90000000596,0.8888888888888888,1,object_06,1,692,0,8,7,desert_4,1,memory-2step-stake-s,555,1439591,0.0-19.0-0.0-0.50,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
51,2,object_07,object_08,803.0,3,1,899.90000000596,1.0,1,object_06,1,701,0,9,6,forest_5,1,memory-2step-stake-s,556,1448822,0.0-19.0-0.0-0.51,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
52,4,object_05,object_03,1024.0,7,2,414.30000001192,0.5555555555555556,1,object_06,1,706,0,5,4,restaurant_4,1,memory-2step-stake-s,557,1457041,0.0-19.0-0.0-0.52,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
53,3,object_04,object_10,983.0,5,1,401.80000001192,0.3333333333333333,1,object_06,5,721,0,3,6,library_4,1,memory-2step-stake-s,558,1465077,0.0-19.0-0.0-0.53,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
54,4,object_03,object_05,906.09999999404,8,2,1372.5,0.6666666666666666,2,object_09,5,751,0,2,6,restaurant_7,1,memory-2step-stake-s,559,1474326,0.0-19.0-0.0-0.54,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
55,3,object_04,object_10,1045.400000006,6,2,930.60000002384,0.6666666666666666,2,object_09,5,781,0,0,6,library_7,1,memory-2step-stake-s,560,1483221,0.0-19.0-0.0-0.55,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,5,6
56,2,object_07,object_08,802.70000001788,4,2,1149.900000006,0.6666666666666666,2,object_09,5,811,0,2,6,forest_5,1,memory-2step-stake-s,561,1492291,0.0-19.0-0.0-0.56,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,3,4
57,1,object_02,object_01,997.70000001788,1,2,719.69999998808,0.2222222222222222,1,object_06,1,813,0,2,4,desert_5,1,memory-2step-stake-s,562,1500511,0.0-19.0-0.0-0.57,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,2,1
58,4,object_05,object_03,792.90000000596,8,1,360.70000001788,0.6666666666666666,2,object_09,5,843,0,1,6,restaurant_7,1,memory-2step-stake-s,563,1508775,0.0-19.0-0.0-0.58,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
59,4,object_05,object_03,780.79999998212,8,1,436.09999999404,0.6666666666666666,2,object_09,5,873,0,2,6,restaurant_8,1,memory-2step-stake-s,564,1517151,0.0-19.0-0.0-0.59,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
60,4,object_03,object_05,1273.6999999881,8,2,379.29999998212,0.6666666666666666,2,object_09,5,903,0,1,6,restaurant_8,1,memory-2step-stake-s,565,1525539,0.0-19.0-0.0-0.60,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
61,1,object_01,object_02,742.59999999404,2,2,440.70000001788,0.2222222222222222,2,object_09,1,905,0,1,2,desert_3,1,memory-2step-stake-s,566,1533462,0.0-19.0-0.0-0.61,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
62,4,object_03,object_05,632.59999999404,8,2,395.30000001192,0.1111111111111111,2,object_09,5,910,0,2,1,restaurant_8,1,memory-2step-stake-s,567,1541281,0.0-19.0-0.0-0.62,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,7,8
63,2,object_08,object_07,585.40000000596,3,2,401.0,0.2222222222222222,1,object_06,1,912,0,2,2,forest_4,1,memory-2step-stake-s,568,1549221,0.0-19.0-0.0-0.63,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,4,3
64,1,object_01,object_02,948.59999999404,2,2,415.0,0.0,2,object_09,5,912,0,0,0,desert_6,1,memory-2step-stake-s,569,1556911,0.0-19.0-0.0-0.64,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,1,2
65,2,object_08,object_07,1034.8999999762,3,2,757.19999998808,0.2222222222222222,1,object_06,1,914,0,2,2,forest_6,1,memory-2step-stake-s,570,1565201,0.0-19.0-0.0-0.65,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,4,3
66,4,object_05,object_03,1384.7999999821,7,2,679.69999998808,0.3333333333333333,1,object_06,5,929,0,3,0,restaurant_4,1,memory-2step-stake-s,571,1573481,0.0-19.0-0.0-0.66,AUFUUD4WG9CVO,3X52SWXE10LAELCT6ESTJVPQIDRWCT,3JPSL1DZ5WFZKV4BK1AH61IYJA2NAO,8,7
