,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,1,object_04,object_07,448.80000001192,2,1,1356.6999999881,0.2222222222222222,2,object_08,1,2,0,5,2,desert_5,1,memory-2step-stake-s,493,757828,0.0-19.0-0.0-0.0,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,2,1
1,3,object_05,object_02,589.30000001192,6,2,424.19999998808,0.2222222222222222,2,object_08,5,12,0,3,2,library_8,1,memory-2step-stake-s,494,765668,0.0-19.0-0.0-0.1,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,5,6
2,1,object_04,object_07,790.60000002384,1,2,754.69999998808,0.5555555555555556,1,object_09,1,17,0,5,0,desert_7,1,memory-2step-stake-s,495,774137,0.0-19.0-0.0-0.2,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,2,1
3,3,object_02,object_05,720.30000001192,5,2,474.60000002384,0.3333333333333333,1,object_09,5,32,0,3,0,library_2,1,memory-2step-stake-s,496,782126,0.0-19.0-0.0-0.3,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,6,5
4,2,object_06,object_01,779.30000001192,4,2,246.19999998808,0.6666666666666666,2,object_08,1,38,0,1,6,forest_3,1,memory-2step-stake-s,497,790191,0.0-19.0-0.0-0.4,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,3,4
5,2,object_06,object_01,570.19999998808,3,1,470.0,0.0,1,object_09,1,38,0,0,8,forest_1,1,memory-2step-stake-s,498,797874,0.0-19.0-0.0-0.5,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,3,4
6,1,object_04,object_07,719.0,1,2,248.5,0.1111111111111111,1,object_09,1,39,0,1,8,desert_1,1,memory-2step-stake-s,499,805438,0.0-19.0-0.0-0.6,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,2,1
7,2,object_01,object_06,819.80000001192,3,2,270.30000001192,0.2222222222222222,1,object_09,1,41,0,2,9,forest_1,1,memory-2step-stake-s,500,813123,0.0-19.0-0.0-0.7,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,4,3
8,2,object_06,object_01,758.30000001192,4,2,355.29999995232,0.6666666666666666,2,object_08,1,47,0,4,6,forest_5,1,memory-2step-stake-s,501,821296,0.0-19.0-0.0-0.8,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,3,4
9,4,object_03,object_10,841.39999997616,7,1,310.19999998808,0.3333333333333333,1,object_09,1,50,0,3,3,restaurant_5,1,memory-2step-stake-s,502,829122,0.0-19.0-0.0-0.9,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,7,8
10,1,object_04,object_07,687.69999998808,1,2,314.80000001192,0.1111111111111111,1,object_09,1,51,0,1,4,desert_1,1,memory-2step-stake-s,503,836754,0.0-19.0-0.0-0.10,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,2,1
11,1,object_07,object_04,831.39999997616,2,2,242.09999996424,0.3333333333333333,2,object_08,5,66,0,0,3,desert_5,1,memory-2step-stake-s,504,844513,0.0-19.0-0.0-0.11,AYDILOZLKOAS8,39O6Z4JLY5DL2UNJ70JKB6RMCJRXVU,3IRIK4HM3E0F6PVH5YKRALM0ND2C6O,1,2
