,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,hitid,assignmentid,stim_left_num,stim_right_num
0,4,object_01,object_08,874.09999999404,7,1,592.80000001192,0.2222222222222222,1,object_05,5,10,0,2,6,restaurant_3,1,memory-2step-stake-s,490,1442523,0.0-19.0-0.0-0.0,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,7,8
1,4,object_01,object_08,1297.400000006,8,2,871.39999997616,0.7777777777777778,2,object_06,5,45,0,1,7,restaurant_4,1,memory-2step-stake-s,491,1451368,0.0-19.0-0.0-0.1,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,7,8
2,2,object_09,object_02,902.30000001192,3,1,719.30000001192,0.1111111111111111,1,object_05,1,46,0,1,4,forest_1,1,memory-2step-stake-s,492,1459437,0.0-19.0-0.0-0.2,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,3,4
3,1,object_04,object_03,795.69999998808,2,2,574.90000000596,0.4444444444444444,2,object_06,1,50,0,3,4,desert_1,1,memory-2step-stake-s,493,1467673,0.0-19.0-0.0-0.3,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,1,2
4,3,object_10,object_07,765.0,6,1,670.90000000596,0.6666666666666666,2,object_06,1,56,0,4,6,library_1,1,memory-2step-stake-s,494,1476208,0.0-19.0-0.0-0.4,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,6,5
5,4,object_08,object_01,1095.3000000119,7,2,585.29999998212,0.6666666666666666,1,object_05,1,62,0,6,8,restaurant_4,1,memory-2step-stake-s,495,1484663,0.0-19.0-0.0-0.5,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,8,7
6,4,object_01,object_08,706.59999999404,7,1,422.5,0.7777777777777778,1,object_05,5,97,0,7,8,restaurant_8,1,memory-2step-stake-s,496,1493066,0.0-19.0-0.0-0.6,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,7,8
7,3,object_07,object_10,1163.0,6,2,509.40000000596,0.5555555555555556,2,object_06,5,122,0,7,5,library_3,1,memory-2step-stake-s,497,1501338,0.0-19.0-0.0-0.7,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,5,6
8,3,object_10,object_07,673.60000002384,6,1,422.5,0.4444444444444444,2,object_06,5,142,0,7,4,library_1,1,memory-2step-stake-s,498,1509418,0.0-19.0-0.0-0.8,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,6,5
9,1,object_04,object_03,735.70000001788,2,2,427.20000001788,0.4444444444444444,2,object_06,1,146,0,8,4,desert_2,1,memory-2step-stake-s,499,1517501,0.0-19.0-0.0-0.9,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,1,2
10,2,object_02,object_09,686.09999999404,4,1,430.20000001788,0.2222222222222222,2,object_06,1,148,0,9,2,forest_8,1,memory-2step-stake-s,500,1525379,0.0-19.0-0.0-0.10,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,4,3
11,2,object_02,object_09,638.59999999404,3,2,354.90000000596,0.5555555555555556,1,object_05,1,153,0,5,2,forest_2,1,memory-2step-stake-s,501,1533497,0.0-19.0-0.0-0.11,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,4,3
12,4,object_01,object_08,585.09999999404,7,1,440.0,0.6666666666666666,1,object_05,5,183,0,6,6,restaurant_8,1,memory-2step-stake-s,502,1541804,0.0-19.0-0.0-0.12,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,7,8
13,3,object_10,object_07,719.09999999404,5,2,437.5,1.0,1,object_05,5,228,0,9,4,library_4,1,memory-2step-stake-s,503,1550423,0.0-19.0-0.0-0.13,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,6,5
14,4,object_01,object_08,611.90000000596,7,1,354.09999999404,0.8888888888888888,1,object_05,5,268,0,8,5,restaurant_3,1,memory-2step-stake-s,504,1558855,0.0-19.0-0.0-0.14,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,7,8
15,4,object_01,object_08,824.20000001788,7,1,412.59999999404,0.7777777777777778,1,object_05,5,303,0,7,5,restaurant_3,1,memory-2step-stake-s,505,1567243,0.0-19.0-0.0-0.15,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,7,8
16,3,object_07,object_10,-1.0,-1,-1,-1.0,0.0,-,0,1,303,0,4,5,library_4,1,memory-2step-stake-s,506,1573773,0.0-19.0-0.0-0.16,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,5,6
17,3,object_07,object_10,527.19999998808,5,1,450.30000001192,0.3333333333333333,1,object_05,5,318,0,3,9,library_4,1,memory-2step-stake-s,507,1581781,0.0-19.0-0.0-0.17,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,5,6
18,1,object_03,object_04,653.40000000596,1,2,377.0,0.4444444444444444,1,object_05,1,322,0,4,8,desert_1,1,memory-2step-stake-s,508,1589825,0.0-19.0-0.0-0.18,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,2,1
19,3,object_10,object_07,774.19999998808,6,1,483.80000001192,0.8888888888888888,2,object_06,1,330,0,2,8,library_4,1,memory-2step-stake-s,509,1598383,0.0-19.0-0.0-0.19,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,6,5
20,2,object_02,object_09,517.20000001788,3,2,592.30000001192,0.2222222222222222,1,object_05,1,332,0,2,7,forest_1,1,memory-2step-stake-s,510,1606426,0.0-19.0-0.0-0.20,AZ69TBTDH7AZS,3X4Q1O9UCK2WXV8VOBT8MFKQE0B7O9,3F0BG9B9MT3BDSARK078DQEFMOZY71,4,3
