rt,stimulus,key_press,task,trial_type,trial_index,time_elapsed,internal_node_id,subid
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1200,3549256,0.0-25.0-0.0,1333
NULL,stimuli/desert/desert_11.jpg,NULL,memory_backgrounds,image-keyboard-response,1201,3551759,0.0-25.0-1.0,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1202,3552261,0.0-25.0-0.1,1333
319,stimuli/forest/forest_9.jpg,74,memory_backgrounds,image-keyboard-response,1203,3552581,0.0-25.0-1.1,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1204,3553082,0.0-25.0-0.2,1333
279,stimuli/desert/desert_32.jpg,70,memory_backgrounds,image-keyboard-response,1205,3553363,0.0-25.0-1.2,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1206,3553864,0.0-25.0-0.3,1333
99,stimuli/forest/forest_28.jpg,74,memory_backgrounds,image-keyboard-response,1207,3553964,0.0-25.0-1.3,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1208,3554465,0.0-25.0-0.4,1333
44,stimuli/desert/desert_31.jpg,70,memory_backgrounds,image-keyboard-response,1209,3554510,0.0-25.0-1.4,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1210,3555012,0.0-25.0-0.5,1333
308,stimuli/forest/forest_22.jpg,70,memory_backgrounds,image-keyboard-response,1211,3555321,0.0-25.0-1.5,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1212,3555823,0.0-25.0-0.6,1333
476,stimuli/forest/forest_16.jpg,70,memory_backgrounds,image-keyboard-response,1213,3556301,0.0-25.0-1.6,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1214,3556803,0.0-25.0-0.7,1333
231,stimuli/restaurant/restaurant_29.jpg,70,memory_backgrounds,image-keyboard-response,1215,3557036,0.0-25.0-1.7,1333
NULL, ,NULL,memory_backgrounds,html-keyboard-response,1216,3557538,0.0-25.0-0.8,1333
274,stimuli/desert/desert_4.jpg,74,memory_backgrounds,image-keyboard-response,1217,3557815,0.0-25.0-1.8,1333
