,rt,stimulus,key_press,task,trial_type,trial_index,time_elapsed,internal_node_id,subid,stripped_stims,environ,old_or_new,accuracy,high_arm
0,,stimuli/desert/desert_11.jpg,,memory_backgrounds,image-keyboard-response,1201.0,3551759.0,0.0-25.0-1.0,1333,desert_11,desert,new,0,outside
1,319.0,stimuli/forest/forest_9.jpg,74.0,memory_backgrounds,image-keyboard-response,1203.0,3552581.0,0.0-25.0-1.1,1333,forest_9,forest,new,1,outside
2,279.0,stimuli/desert/desert_32.jpg,70.0,memory_backgrounds,image-keyboard-response,1205.0,3553363.0,0.0-25.0-1.2,1333,desert_32,desert,new,0,outside
3,99.0,stimuli/forest/forest_28.jpg,74.0,memory_backgrounds,image-keyboard-response,1207.0,3553964.0,0.0-25.0-1.3,1333,forest_28,forest,old,0,outside
4,44.0,stimuli/desert/desert_31.jpg,70.0,memory_backgrounds,image-keyboard-response,1209.0,3554510.0,0.0-25.0-1.4,1333,desert_31,desert,new,0,outside
5,308.0,stimuli/forest/forest_22.jpg,70.0,memory_backgrounds,image-keyboard-response,1211.0,3555321.0,0.0-25.0-1.5,1333,forest_22,forest,new,0,outside
6,476.0,stimuli/forest/forest_16.jpg,70.0,memory_backgrounds,image-keyboard-response,1213.0,3556301.0,0.0-25.0-1.6,1333,forest_16,forest,new,0,outside
7,231.0,stimuli/restaurant/restaurant_29.jpg,70.0,memory_backgrounds,image-keyboard-response,1215.0,3557036.0,0.0-25.0-1.7,1333,restaurant_29,restaurant,old,1,outside
8,274.0,stimuli/desert/desert_4.jpg,74.0,memory_backgrounds,image-keyboard-response,1217.0,3557815.0,0.0-25.0-1.8,1333,desert_4,desert,new,1,outside
9,701.0,stimuli/restaurant/restaurant_15.jpg,74.0,memory_backgrounds,image-keyboard-response,1219.0,3559018.0,0.0-25.0-1.9,1333,restaurant_15,restaurant,old,0,outside
10,1318.0,stimuli/desert/desert_25.jpg,74.0,memory_backgrounds,image-keyboard-response,1221.0,3560840.0,0.0-25.0-1.10,1333,desert_25,desert,old,0,outside
11,508.0,stimuli/forest/forest_11.jpg,70.0,memory_backgrounds,image-keyboard-response,1223.0,3561851.0,0.0-25.0-1.11,1333,forest_11,forest,new,0,outside
12,1041.0,stimuli/restaurant/restaurant_20.jpg,70.0,memory_backgrounds,image-keyboard-response,1225.0,3563395.0,0.0-25.0-1.12,1333,restaurant_20,restaurant,new,0,outside
13,338.0,stimuli/library/library_3.jpg,74.0,memory_backgrounds,image-keyboard-response,1227.0,3564240.0,0.0-25.0-1.13,1333,library_3,library,old,0,outside
14,326.0,stimuli/library/library_10.jpg,70.0,memory_backgrounds,image-keyboard-response,1229.0,3565068.0,0.0-25.0-1.14,1333,library_10,library,old,1,outside
15,234.0,stimuli/desert/desert_6.jpg,70.0,memory_backgrounds,image-keyboard-response,1231.0,3565805.0,0.0-25.0-1.15,1333,desert_6,desert,new,0,outside
16,233.0,stimuli/restaurant/restaurant_2.jpg,70.0,memory_backgrounds,image-keyboard-response,1233.0,3566541.0,0.0-25.0-1.16,1333,restaurant_2,restaurant,old,1,outside
17,209.0,stimuli/forest/forest_29.jpg,70.0,memory_backgrounds,image-keyboard-response,1235.0,3567253.0,0.0-25.0-1.17,1333,forest_29,forest,old,1,outside
18,738.0,stimuli/forest/forest_27.jpg,70.0,memory_backgrounds,image-keyboard-response,1237.0,3568494.0,0.0-25.0-1.18,1333,forest_27,forest,old,1,outside
19,951.0,stimuli/desert/desert_9.jpg,74.0,memory_backgrounds,image-keyboard-response,1239.0,3569948.0,0.0-25.0-1.19,1333,desert_9,desert,old,0,outside
20,329.0,stimuli/desert/desert_18.jpg,70.0,memory_backgrounds,image-keyboard-response,1241.0,3570780.0,0.0-25.0-1.20,1333,desert_18,desert,new,0,outside
21,315.0,stimuli/forest/forest_13.jpg,70.0,memory_backgrounds,image-keyboard-response,1243.0,3571598.0,0.0-25.0-1.21,1333,forest_13,forest,new,0,outside
22,974.0,stimuli/restaurant/restaurant_5.jpg,70.0,memory_backgrounds,image-keyboard-response,1245.0,3573075.0,0.0-25.0-1.22,1333,restaurant_5,restaurant,new,0,outside
23,995.0,stimuli/desert/desert_8.jpg,70.0,memory_backgrounds,image-keyboard-response,1247.0,3574575.0,0.0-25.0-1.23,1333,desert_8,desert,old,1,outside
24,1093.0,stimuli/restaurant/restaurant_9.jpg,70.0,memory_backgrounds,image-keyboard-response,1249.0,3576172.0,0.0-25.0-1.24,1333,restaurant_9,restaurant,old,1,outside
25,905.0,stimuli/library/library_22.jpg,74.0,memory_backgrounds,image-keyboard-response,1251.0,3577579.0,0.0-25.0-1.25,1333,library_22,library,old,0,outside
26,470.0,stimuli/library/library_19.jpg,70.0,memory_backgrounds,image-keyboard-response,1253.0,3578552.0,0.0-25.0-1.26,1333,library_19,library,new,0,outside
27,314.0,stimuli/restaurant/restaurant_31.jpg,70.0,memory_backgrounds,image-keyboard-response,1255.0,3579371.0,0.0-25.0-1.27,1333,restaurant_31,restaurant,old,1,outside
28,259.0,stimuli/desert/desert_10.jpg,74.0,memory_backgrounds,image-keyboard-response,1257.0,3580132.0,0.0-25.0-1.28,1333,desert_10,desert,new,1,outside
29,85.0,stimuli/restaurant/restaurant_4.jpg,70.0,memory_backgrounds,image-keyboard-response,1259.0,3580722.0,0.0-25.0-1.29,1333,restaurant_4,restaurant,old,1,outside
30,116.0,stimuli/desert/desert_26.jpg,74.0,memory_backgrounds,image-keyboard-response,1261.0,3581342.0,0.0-25.0-1.30,1333,desert_26,desert,new,1,outside
31,67.0,stimuli/library/library_18.jpg,70.0,memory_backgrounds,image-keyboard-response,1263.0,3581911.0,0.0-25.0-1.31,1333,library_18,library,old,1,outside
32,32.0,stimuli/restaurant/restaurant_30.jpg,74.0,memory_backgrounds,image-keyboard-response,1265.0,3582447.0,0.0-25.0-1.32,1333,restaurant_30,restaurant,old,0,outside
33,167.0,stimuli/forest/forest_31.jpg,74.0,memory_backgrounds,image-keyboard-response,1267.0,3583117.0,0.0-25.0-1.33,1333,forest_31,forest,new,1,outside
