"rt","response","task","backgroundImg","left_obj","right_obj","lure_or_no","trial_type","trial_index","time_elapsed","internal_node_id","subid","hitid","assignmentid"
"2960","2","memory_backgrounds","stimuli/desert/desert_4.jpg","stimuli/object_10.png","stimuli/object_01.png","lure","html-button-response","1202","3392795","0.0-26.0-1.0","smorse","55","smorse_test2"
"2028","1","memory_backgrounds","stimuli/restaurant/restaurant_6.jpg","stimuli/object_07.png","stimuli/object_08.png","lure_but_seen","html-button-response","1204","3395327","0.0-26.0-1.1","smorse","55","smorse_test2"
"3332","1","memory_backgrounds","stimuli/forest/forest_5.jpg","stimuli/object_02.png","stimuli/object_06.png","target","html-button-response","1206","3399161","0.0-26.0-1.2","smorse","55","smorse_test2"
"3774","2","memory_backgrounds","stimuli/restaurant/restaurant_8.jpg","stimuli/object_09.png","stimuli/object_05.png","lure","html-button-response","1208","3403437","0.0-26.0-1.3","smorse","55","smorse_test2"
"2398","2","memory_backgrounds","stimuli/restaurant/restaurant_1.jpg","stimuli/object_06.png","stimuli/object_02.png","lure_but_seen","html-button-response","1210","3406339","0.0-26.0-1.4","smorse","55","smorse_test2"
"2463","1","memory_backgrounds","stimuli/desert/desert_5.jpg","stimuli/object_07.png","stimuli/object_08.png","lure_but_seen","html-button-response","1212","3409309","0.0-26.0-1.5","smorse","55","smorse_test2"
"3106","0","memory_backgrounds","stimuli/library/library_8.jpg","stimuli/object_08.png","stimuli/object_07.png","target","html-button-response","1214","3412920","0.0-26.0-1.6","smorse","55","smorse_test2"
"3501","0","memory_backgrounds","stimuli/restaurant/restaurant_6.jpg","stimuli/object_05.png","stimuli/object_09.png","target","html-button-response","1216","3416924","0.0-26.0-1.7","smorse","55","smorse_test2"
"3241","1","memory_backgrounds","stimuli/desert/desert_6.jpg","stimuli/object_10.png","stimuli/object_01.png","target","html-button-response","1218","3420670","0.0-26.0-1.8","smorse","55","smorse_test2"
"1450","2","memory_backgrounds","stimuli/desert/desert_1.jpg","stimuli/object_10.png","stimuli/object_01.png","lure","html-button-response","1220","3422628","0.0-26.0-1.9","smorse","55","smorse_test2"
"2781","1","memory_backgrounds","stimuli/restaurant/restaurant_1.jpg","stimuli/object_09.png","stimuli/object_05.png","target","html-button-response","1222","3425912","0.0-26.0-1.10","smorse","55","smorse_test2"
"2658","1","memory_backgrounds","stimuli/restaurant/restaurant_7.jpg","stimuli/object_09.png","stimuli/object_05.png","lure","html-button-response","1224","3429203","0.0-26.0-1.11","smorse","55","smorse_test2"
"2848","1","memory_backgrounds","stimuli/desert/desert_7.jpg","stimuli/object_10.png","stimuli/object_01.png","target","html-button-response","1226","3432555","0.0-26.0-1.12","smorse","55","smorse_test2"
"1859","0","memory_backgrounds","stimuli/library/library_6.jpg","stimuli/object_08.png","stimuli/object_07.png","target","html-button-response","1228","3434917","0.0-26.0-1.13","smorse","55","smorse_test2"
