,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,2.0,2.0,5,2.0,0.4444444444444444,1,1,1,1,366,4.0
1,2.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,366,4.0
2,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,366,7.0
3,2.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,366,3.0
4,2.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,366,4.0
5,3.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,366,5.0
6,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,366,6.0
7,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,366,5.0
8,2.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,366,4.0
9,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,366,5.0
10,4.0,2.0,1,2.0,0.0,1,1,1,1,366,8.0
11,1.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,366,1.0
12,4.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,366,7.0
13,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,366,7.0
14,3.0,1.0,1,1.0,0.0,1,1,1,1,366,5.0
15,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,366,5.0
16,4.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,366,7.0
17,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,366,4.0
18,1.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,366,1.0
19,2.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,366,4.0
20,1.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,366,2.0
21,3.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,366,6.0
22,2.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,366,4.0
23,1.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,366,1.0
24,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,366,2.0
25,3.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,366,5.0
26,4.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,366,7.0
27,2.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,366,4.0
28,4.0,2.0,5,2.0,0.6666666666666666,1,1,1,1,366,8.0
29,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,366,8.0
30,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,366,5.0
31,3.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,366,5.0
32,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,366,5.0
33,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,366,1.0
34,2.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,366,4.0
35,3.0,1.0,5,1.0,0.0,1,1,1,1,366,5.0
36,3.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,366,5.0
37,3.0,1.0,5,1.0,0.0,1,1,1,1,366,5.0
